exp_name,agent,cognitive_model,measure,mean,sem
partial,llm,Model_1alpha,pp,0.058,0.031
partial,llm,Model_1alpha,nll,50.418,1.861
partial,llm,Model_1alpha,bic,109.965,3.721
partial,llm,Model_1alpha,beta,10.143,1.167
partial,llm,Model_1alpha,alpha,0.533,0.047
partial,llm,Model_2alpha,pp,0.942,0.031
partial,llm,Model_2alpha,nll,15.214,1.393
partial,llm,Model_2alpha,bic,44.122,2.786
partial,llm,Model_2alpha,beta,18.739,0.478
partial,llm,Model_2alpha,alpha_pos,0.861,0.015
partial,llm,Model_2alpha,alpha_neg,0.08,0.032
partial,human,Model_1alpha,pp,0.357,0.052
partial,human,Model_1alpha,nll,49.949,1.914
partial,human,Model_1alpha,bic,109.028,3.828
partial,human,Model_1alpha,beta,12.253,1.361
partial,human,Model_1alpha,alpha,0.375,0.042
partial,human,Model_2alpha,pp,0.643,0.052
partial,human,Model_2alpha,nll,44.718,2.109
partial,human,Model_2alpha,bic,103.129,4.218
partial,human,Model_2alpha,beta,11.802,0.941
partial,human,Model_2alpha,alpha_pos,0.443,0.038
partial,human,Model_2alpha,alpha_neg,0.216,0.042
partial,meta-rl,Model_1alpha,pp,0.028,0.02
partial,meta-rl,Model_1alpha,nll,38.459,1.345
partial,meta-rl,Model_1alpha,bic,86.047,2.69
partial,meta-rl,Model_1alpha,beta,17.845,1.417
partial,meta-rl,Model_1alpha,alpha,0.427,0.032
partial,meta-rl,Model_2alpha,pp,0.972,0.02
partial,meta-rl,Model_2alpha,nll,18.268,0.807
partial,meta-rl,Model_2alpha,bic,50.229,1.614
partial,meta-rl,Model_2alpha,beta,20.474,0.566
partial,meta-rl,Model_2alpha,alpha_pos,0.756,0.028
partial,meta-rl,Model_2alpha,alpha_neg,0.104,0.01
full,llm,Model_2alpha,pp,0.931,0.031
full,llm,Model_2alpha,nll,27.457,1.703
full,llm,Model_2alpha,bic,74.298,3.406
full,llm,Model_2alpha,beta,6.448,0.553
full,llm,Model_2alpha,alpha_conf,0.321,0.031
full,llm,Model_2alpha,alpha_disconf,0.111,0.013
full,llm,Model_4alpha,pp,0.069,0.031
full,llm,Model_4alpha,nll,25.271,1.555
full,llm,Model_4alpha,bic,82.85,3.11
full,llm,Model_4alpha,beta,7.633,0.435
full,llm,Model_4alpha,alpha_pos_chosen,0.404,0.042
full,llm,Model_4alpha,alpha_pos_unchosen,0.074,0.012
full,llm,Model_4alpha,alpha_neg_chosen,0.178,0.021
full,llm,Model_4alpha,alpha_neg_unchosen,0.222,0.025
full,human,Model_2alpha,pp,0.877,0.046
full,human,Model_2alpha,nll,49.538,3.327
full,human,Model_2alpha,bic,118.461,6.654
full,human,Model_2alpha,beta,3.113,0.453
full,human,Model_2alpha,alpha_conf,0.413,0.038
full,human,Model_2alpha,alpha_disconf,0.071,0.009
full,human,Model_4alpha,pp,0.123,0.046
full,human,Model_4alpha,nll,47.08,3.481
full,human,Model_4alpha,bic,126.467,6.961
full,human,Model_4alpha,beta,4.311,0.594
full,human,Model_4alpha,alpha_pos_chosen,0.421,0.047
full,human,Model_4alpha,alpha_pos_unchosen,0.049,0.01
full,human,Model_4alpha,alpha_neg_chosen,0.158,0.021
full,human,Model_4alpha,alpha_neg_unchosen,0.268,0.038
full,meta-rl,Model_2alpha,pp,0.994,0.003
full,meta-rl,Model_2alpha,nll,21.108,1.243
full,meta-rl,Model_2alpha,bic,61.6,2.487
full,meta-rl,Model_2alpha,beta,6.971,0.569
full,meta-rl,Model_2alpha,alpha_conf,0.371,0.036
full,meta-rl,Model_2alpha,alpha_disconf,0.111,0.01
full,meta-rl,Model_4alpha,pp,0.006,0.003
full,meta-rl,Model_4alpha,nll,20.397,1.224
full,meta-rl,Model_4alpha,bic,73.101,2.449
full,meta-rl,Model_4alpha,beta,6.981,0.498
full,meta-rl,Model_4alpha,alpha_pos_chosen,0.464,0.055
full,meta-rl,Model_4alpha,alpha_pos_unchosen,0.121,0.014
full,meta-rl,Model_4alpha,alpha_neg_chosen,0.124,0.012
full,meta-rl,Model_4alpha,alpha_neg_unchosen,0.363,0.041
agency,llm,Model_3alpha,pp,0.783,0.062
agency,llm,Model_3alpha,nll,25.374,2.171
agency,llm,Model_3alpha,bic,75.442,4.342
agency,llm,Model_3alpha,beta,12.374,0.666
agency,llm,Model_3alpha,alpha_forced,0.09,0.012
agency,llm,Model_3alpha,alpha_pos_free,0.359,0.059
agency,llm,Model_3alpha,alpha_neg_free,0.078,0.009
agency,llm,Model_4alpha,pp,0.217,0.062
agency,llm,Model_4alpha,nll,24.016,1.964
agency,llm,Model_4alpha,bic,78.901,3.927
agency,llm,Model_4alpha,beta,11.335,0.77
agency,llm,Model_4alpha,alpha_pos_free,0.467,0.06
agency,llm,Model_4alpha,alpha_neg_free,0.137,0.021
agency,llm,Model_4alpha,alpha_pos_forced,0.074,0.011
agency,llm,Model_4alpha,alpha_neg_forced,0.179,0.027
agency,human,Model_3alpha,pp,0.617,0.088
agency,human,Model_3alpha,nll,184.756,15.753
agency,human,Model_3alpha,bic,395.828,31.505
agency,human,Model_3alpha,beta,4.154,0.503
agency,human,Model_3alpha,alpha_forced,0.131,0.036
agency,human,Model_3alpha,alpha_pos_free,0.37,0.064
agency,human,Model_3alpha,alpha_neg_free,0.141,0.054
agency,human,Model_4alpha,pp,0.383,0.088
agency,human,Model_4alpha,nll,182.534,15.623
agency,human,Model_4alpha,bic,397.964,31.245
agency,human,Model_4alpha,beta,3.875,0.49
agency,human,Model_4alpha,alpha_pos_free,0.306,0.048
agency,human,Model_4alpha,alpha_neg_free,0.159,0.053
agency,human,Model_4alpha,alpha_pos_forced,0.142,0.039
agency,human,Model_4alpha,alpha_neg_forced,0.251,0.042
agency,meta-rl,Model_3alpha,pp,0.853,0.039
agency,meta-rl,Model_3alpha,nll,21.062,1.733
agency,meta-rl,Model_3alpha,bic,66.82,3.465
agency,meta-rl,Model_3alpha,beta,13.012,0.895
agency,meta-rl,Model_3alpha,alpha_forced,0.153,0.008
agency,meta-rl,Model_3alpha,alpha_pos_free,0.28,0.035
agency,meta-rl,Model_3alpha,alpha_neg_free,0.066,0.008
agency,meta-rl,Model_4alpha,pp,0.147,0.039
agency,meta-rl,Model_4alpha,nll,20.178,1.636
agency,meta-rl,Model_4alpha,bic,71.225,3.271
agency,meta-rl,Model_4alpha,beta,14.273,0.889
agency,meta-rl,Model_4alpha,alpha_pos_free,0.275,0.04
agency,meta-rl,Model_4alpha,alpha_neg_free,0.072,0.01
agency,meta-rl,Model_4alpha,alpha_pos_forced,0.152,0.012
agency,meta-rl,Model_4alpha,alpha_neg_forced,0.166,0.015
