agent,cognitive_model,run,nll,bic,beta,alpha_forced,alpha_pos_free,alpha_neg_free,alpha_pos_forced,alpha_neg_forced
claude-1,Model_3alpha,0,13.407765797045911,51.510676009699566,15.597139979383908,0.0619121183952763,0.2337988960122006,0.04166351200074144,,
claude-1,Model_3alpha,1,43.4102436617669,111.51563173914154,8.811267610456541,0.03316439643966969,0.11890910571085776,0.03921336861439314,,
claude-1,Model_3alpha,2,27.026654893489912,78.74845420258757,13.784586285773667,0.08450328478922924,0.33455614936233785,0.17588184828034342,,
claude-1,Model_3alpha,3,45.975725250230504,116.64659491606875,8.264752714911943,0.017600033441253504,0.14350492512267238,0.02077420789158765,,
claude-1,Model_3alpha,4,8.141404170106755,40.977952755821256,14.037724627066114,0.11484177353154257,0.573557744936686,0.08673711303044836,,
claude-1,Model_3alpha,5,7.4731336660771195,39.641411747761985,11.269360882603513,0.11213044565111424,0.7138913571907748,0.04875764619157926,,
claude-1,Model_3alpha,6,20.513063192307413,65.72127080022257,14.357707646990288,0.08147574203814545,0.2863962817937694,0.0997885599553473,,
claude-1,Model_3alpha,7,34.92991908001099,94.55498257562972,11.405197511900768,0.10303380254920778,0.19645497976050144,0.12960174664108537,,
claude-1,Model_3alpha,8,29.910489248681657,84.51612291297106,14.173489505396011,0.07797957800626645,0.12254061858883648,0.05196553566100057,,
claude-1,Model_3alpha,9,18.052174204289816,60.79949282418738,18.935638632608136,0.02880163281476179,0.19846931712208943,0.041654490495697916,,
claude-1,Model_3alpha,10,28.714820343701142,82.12478510301003,12.520446070887388,0.09872445561529206,0.08735685602885693,0.08807192627702441,,
claude-1,Model_3alpha,11,22.216039728481167,69.12722387257008,11.910308788223366,0.07522679133882809,0.28260993274702406,0.13738765412719595,,
claude-1,Model_3alpha,12,19.802752931616247,64.30065027884024,16.359917934568887,0.06526027032009339,0.08398620274096982,0.02075210120818902,,
claude-1,Model_3alpha,13,37.97691440977803,100.64897323516381,9.207506355827034,0.30116210255806364,0.9757099347567241,0.09432703805296251,,
claude-1,Model_3alpha,14,36.092861978010866,96.88086837162948,9.097936786134563,0.13445988656473204,0.3459709331475875,0.11209307752724229,,
claude-1,Model_3alpha,15,25.365441726438256,75.42602786848425,9.467983553312735,0.1394276625513887,0.2283945690861719,0.11729006854762192,,
claude-1,Model_3alpha,16,21.553447820383592,67.80204005637493,10.673681429296748,0.1858625313834924,0.9632027618124815,0.06839571439027145,,
claude-1,Model_3alpha,17,15.405878275517875,55.5069009666435,13.493861115279536,0.025609152619091167,0.19357334157980438,0.04496306312054329,,
claude-1,Model_3alpha,18,39.99210526725477,104.67935495011729,4.789684061745443,0.04461467794608088,0.9816804950724614,0.024597220378956383,,
claude-1,Model_3alpha,19,23.17591445896824,71.04697333354423,14.825344342899951,0.09035463945992574,0.17862389772424248,0.12598125051219242,,
claude-1,Model_3alpha,20,13.628014750950104,51.95117391750796,11.695377829163217,0.12137065840769085,0.6665232765049782,0.11396770748036861,,
claude-1,Model_3alpha,21,18.139619688167553,60.974383791942856,15.780393672093592,0.06169063096681259,0.17475809958021704,0.09996226523301734,,
claude-1,Model_3alpha,22,25.535350357359118,75.76584513032599,16.482988702017064,0.08798012293605934,0.2300002343186393,0.08051046515611647,,
claude-1,Model_3alpha,23,32.527948014563954,89.75104044473565,10.04233548382518,0.02323275303607096,0.2900125524536746,0.004681239396288424,,
claude-1,Model_4alpha,0,11.401680897183459,53.672292313876596,10.88775378000482,,0.40688446790066296,0.09036966400618357,0.020856655622545208,0.2239095409657189
claude-1,Model_4alpha,1,40.40057586229296,111.6700822440956,6.045275561188267,,0.31659346143453965,0.14973026637904352,0.036025387189299964,0.27147349325611625
claude-1,Model_4alpha,2,26.787801071454453,84.4445326624186,11.679332620682825,,0.4106870461974293,0.21440413962518665,0.06775558255837953,0.11296091150101871
claude-1,Model_4alpha,3,35.7691756803163,102.40728188014228,8.19863710131266,,0.7037088356275282,0.3905357125786184,0.0007331192179635759,0.4459529449672236
claude-1,Model_4alpha,4,7.826533364767105,46.52199724904389,12.956630096281607,,0.7895214671342752,0.11804328463798693,0.08539175724910937,0.18603467151853903
claude-1,Model_4alpha,5,7.480202253250145,45.82933502600997,10.385638675605204,,0.7220382774654689,0.0497313144911698,0.09803307109794103,0.1255212995515429
claude-1,Model_4alpha,6,20.565996918896808,72.00092435730329,14.163668963322465,,0.28668750398846504,0.10459187377148317,0.0770306413193262,0.08782056011302135
claude-1,Model_4alpha,7,34.23413046896489,99.33719145743947,11.048637383641577,,0.20892165459178633,0.1641332366282796,0.08801057019053857,0.15867549813327475
claude-1,Model_4alpha,8,29.944477621162473,90.75788576183463,14.506772814376559,,0.11847709951393312,0.04861206157903872,0.08162489679172037,0.071933560040679
claude-1,Model_4alpha,9,18.1595957188089,67.18812195712749,20.249015984055944,,0.18169672491890948,0.03734922370097581,0.033070490608098496,0.02478606680049044
claude-1,Model_4alpha,10,25.473695589896018,81.81632169930171,10.586889520690686,,0.44459852710139697,0.38076505733350513,0.0831560820670171,0.4197503646555575
claude-1,Model_4alpha,11,21.115047790441764,73.09902610039322,16.49162984591986,,0.20192875956269166,0.09303634786377836,0.12001561072947059,0.040578922290066474
claude-1,Model_4alpha,12,22.807481670484798,76.48389386047927,9.403742305835982,,0.1827509022880352,0.058544205679876817,0.1035659646916815,0.051459001947558244
claude-1,Model_4alpha,13,37.49212161028065,105.85317374007099,8.28822749754533,,0.9746922306260867,0.1012303894988214,0.24447139229392828,0.33098045882193505
claude-1,Model_4alpha,14,31.325470148376617,93.51987081626291,8.623931002635908,,0.3586332014942887,0.23522178123274493,0.05871129140928185,0.29839890283301124
claude-1,Model_4alpha,15,25.19278620170563,81.25450292292095,8.501589218959873,,0.2601544590104759,0.13472742209527544,0.12930755531457758,0.17776341649456684
claude-1,Model_4alpha,16,20.30325963121695,71.47544978194358,8.815479157264981,,0.9608312649296074,0.10821614514899731,0.1348957206061466,0.2820753428959949
claude-1,Model_4alpha,17,14.713024728298162,60.294979976106006,9.444522196890919,,0.34056951545652947,0.1116049869919743,0.003267534917674136,0.09523102504817008
claude-1,Model_4alpha,18,39.39303309586998,109.65499671124965,4.217919473163069,,0.9836502584188119,0.024168141290693886,0.010711679974630375,0.07416693529330892
claude-1,Model_4alpha,19,17.492965188978186,65.85486089746605,17.059471359006373,,0.8409831851884504,0.32997391083688205,0.060601179172032914,0.4507519721524203
claude-1,Model_4alpha,20,13.473397165157067,57.815724849823816,10.44665524010487,,0.7991112864917594,0.1250839118939204,0.09205577733289794,0.14954205487731806
claude-1,Model_4alpha,21,18.029152709710793,66.92723593893126,12.847041689654715,,0.21922837903562464,0.13009753631481077,0.05120947222141178,0.09245457116466971
claude-1,Model_4alpha,22,25.460512508926136,81.78995553736195,17.20758360196843,,0.22263528088272386,0.07622695309140798,0.09805105185514645,0.07189779188917478
claude-1,Model_4alpha,23,31.543607161865378,93.95614484324044,9.987895031886575,,0.2727221173291872,0.00214440268336585,0.0021517248977972313,0.044674329621420976
