agent,cognitive_model,run,nll,bic,beta,alpha_conf,alpha_disconf,alpha_pos_chosen,alpha_pos_unchosen,alpha_neg_chosen,alpha_neg_unchosen
meta-rl,Model_2alpha,0,24.284510770820035,67.95342607070123,10.098824955334438,0.1857098218230248,0.10540359375376245,,,,
meta-rl,Model_2alpha,1,21.19621033556899,61.77682520019913,7.647296087568048,0.28422505307812473,0.15725923867266134,,,,
meta-rl,Model_2alpha,2,21.273574589826623,61.9315537087144,9.179061337595538,0.33906301058757876,0.15007500825411352,,,,
meta-rl,Model_2alpha,3,15.982240675858055,51.34888588077726,5.617205918687179,0.3872916045092492,0.11310163266209937,,,,
meta-rl,Model_2alpha,4,8.766278758722798,36.91696204650675,6.825939281295928,0.8307735376882768,0.14782922609943963,,,,
meta-rl,Model_2alpha,5,26.147983265938045,71.68037106093723,4.948255962046503,0.35738504643235575,0.1670565591970225,,,,
meta-rl,Model_2alpha,6,19.26908473368756,57.92257399643627,13.839744010745365,0.1536547520058091,0.0636659939455063,,,,
meta-rl,Model_2alpha,7,24.340576959811344,68.06555844868384,4.2752701774668775,0.5484166085097668,0.13942850330567666,,,,
meta-rl,Model_2alpha,8,20.982503056358546,61.34941064177824,5.069186878291014,0.5673811115451395,0.13493767920314662,,,,
meta-rl,Model_2alpha,9,24.036449183588342,67.45730289623783,5.4810759207516115,0.29024620874418783,0.07629527057943666,,,,
meta-rl,Model_2alpha,10,32.09434423314134,83.57309299534384,7.4298448151212035,0.23824261154625653,0.11591709938488676,,,,
meta-rl,Model_2alpha,11,18.36384662963682,56.11209778833479,7.670401627753948,0.47310306441149724,0.26139075199199424,,,,
meta-rl,Model_2alpha,12,10.639127679883664,40.66265988882848,12.748344745121749,0.4318332831989526,0.1734692620038625,,,,
meta-rl,Model_2alpha,13,18.606500214159706,56.59740495738056,7.343020128040648,0.24529695184725195,0.06392064425258495,,,,
meta-rl,Model_2alpha,14,23.76765899706254,66.91972252318624,5.873665266989794,0.29672135965942986,0.10093059565331824,,,,
meta-rl,Model_2alpha,15,24.54144517767741,68.46729488441596,10.797081648503388,0.16256029966063404,0.07099941569887258,,,,
meta-rl,Model_2alpha,16,36.07811362097556,91.54063177101227,3.4907023821747316,0.4285903876758962,0.08584117967200713,,,,
meta-rl,Model_2alpha,17,14.441324467697674,48.267053464456495,5.9315565166706055,0.35476206530592913,0.07392446753424421,,,,
meta-rl,Model_2alpha,18,26.27468153596006,71.93376760098127,3.3939516786430515,0.5989589620287681,0.13108923712024623,,,,
meta-rl,Model_2alpha,19,14.857218554935644,49.09884163893244,5.535289514062405,0.3378921537563649,0.021329341394128128,,,,
meta-rl,Model_2alpha,20,21.590532468144872,62.565469465350894,5.448913964258285,0.23581703772234086,0.08726569222852701,,,,
meta-rl,Model_2alpha,21,19.38853192220534,58.16146837347183,3.059837209384889,0.7353485616542855,0.06425106889914765,,,,
meta-rl,Model_2alpha,22,17.28350369194689,53.95141191295493,7.399284931184504,0.24403989867850912,0.08754279364483829,,,,
meta-rl,Model_2alpha,23,22.38041157602437,64.14522768110989,8.208379025237907,0.18205877485043945,0.07494082003521327,,,,
meta-rl,Model_4alpha,0,24.17275955980767,80.65286000138393,9.646852802144732,,,0.17554937429621503,0.0773700228749458,0.1361519667542329,0.21792812539606093
meta-rl,Model_4alpha,1,20.574800231226494,73.45694134422158,6.971601793916819,,,0.44977791743313406,0.15170206049734444,0.2256771068947251,0.30020164212239764
meta-rl,Model_4alpha,2,20.606047994357667,73.51943687048393,7.258858532508673,,,0.9466510456346814,0.23601169045859466,0.12120344175887843,0.38857371905079147
meta-rl,Model_4alpha,3,14.784510004917168,61.87636089160293,5.1072003202839396,,,0.9111997903086833,0.10835956021496101,0.17157533023027735,0.2802397192314463
meta-rl,Model_4alpha,4,8.728883180556062,49.76510724288072,7.0123156606102235,,,0.7954765029725637,0.19019116150671667,0.12875985123212108,0.757193451048803
meta-rl,Model_4alpha,5,25.518866805879952,83.3450744935285,5.421309060802013,,,0.4364268722017489,0.15210233257771744,0.1933398330459147,0.25013388698955424
meta-rl,Model_4alpha,6,19.2838440129386,70.8750289076458,13.882319581501802,,,0.20483523445678856,0.11309886944430173,0.03926865353564451,0.12959676167164
meta-rl,Model_4alpha,7,20.553952704585953,73.4152462909405,5.683742324989772,,,0.8965597594874518,0.15890323630157763,0.1547226661111987,0.28596682519632843
meta-rl,Model_4alpha,8,20.233957793565253,72.7752564688991,5.209847824817361,,,0.4815936514397675,0.15989684486890274,0.12863290970762156,0.9199127134094416
meta-rl,Model_4alpha,9,21.638798877411173,75.58493863659093,6.564035522770414,,,0.11793790996077025,0.08553320796762601,0.040482803478454135,0.4077851908829566
meta-rl,Model_4alpha,10,31.16284294887575,94.6330267795201,6.214131841886348,,,0.3221002042876526,0.09562958977298935,0.21355169263843338,0.31929158494044285
meta-rl,Model_4alpha,11,17.63902333071305,67.58538754319468,6.330506134972123,,,0.9445081059390145,0.30519642730699376,0.23768296855606919,0.499763566060755
meta-rl,Model_4alpha,12,10.324056248024187,52.955453377816966,11.784500600298585,,,0.6166648755691858,0.14607238818771698,0.2130294824705921,0.41794740710151057
meta-rl,Model_4alpha,13,18.37414129504954,69.05562347186768,7.463867852212573,,,0.21621312157907194,0.027621779298754062,0.1253160771544479,0.32145835015838364
meta-rl,Model_4alpha,14,22.7979979230833,77.9033367279352,7.546174170805779,,,0.43176425087567144,0.17197892378884097,0.08730396199105589,0.202179745695853
meta-rl,Model_4alpha,15,24.372752794784716,81.05284647133803,10.673532853684733,,,0.16961532742096222,0.09333937526776298,0.05655832799806729,0.15936882409905748
meta-rl,Model_4alpha,16,35.87635376593182,104.06004841363222,3.5933988579948895,,,0.49802413363389203,0.08691941679059631,0.09334039765918407,0.35241919969122626
meta-rl,Model_4alpha,17,14.359911250308013,61.027163382384614,6.178468402294144,,,0.3346779280225089,0.05293702387312479,0.12414261766777411,0.3712268329574443
meta-rl,Model_4alpha,18,25.373965527314684,83.05527193639796,3.8448994321047207,,,0.6315396317080704,0.17154008672312956,0.05674768990748704,0.4507471766749067
meta-rl,Model_4alpha,19,14.080794117722515,60.46892911721362,5.708504624178686,,,0.23862938711673815,0.013316460946042807,0.03185516107398997,0.7838263663637791
meta-rl,Model_4alpha,20,21.51748504503632,75.34231097184123,5.379043187986987,,,0.20144965290856082,0.08625722472337706,0.09389110107116778,0.2968786920142434
meta-rl,Model_4alpha,21,19.06111922854572,70.42957933886004,4.693336124598511,,,0.5544606696508183,0.09519844902757243,0.1081169692692116,0.25125116866529795
meta-rl,Model_4alpha,22,16.118670181771204,64.544681245311,7.320501545415012,,,0.4068481784316415,0.04427535527042781,0.13178441775300942,0.14634583804155032
meta-rl,Model_4alpha,23,22.368991805044203,77.045324491857,8.064456586533202,,,0.1618667825856228,0.07291348329173072,0.07391803842552538,0.1993812072018425
